item,quantity,use
6 x 2 mm neodymium magnets,272,"136 matched pairs; 34 per border; front printed pads optional, magnet count unchanged"
M4 x 80 bolts,16,Two per main-pipe V clamp
M4 x 70 bolts,16,Two per brace-pipe V clamp
M4 nuts,32,For V clamps
M4 washers for V clamps,64,One under each head and nut
M4 x 60 bolts + wingnuts,20,18 PVC fitting ports + 2 guy-loop stop bolts
M4 washers for PVC bolts,40,One under each head and nut
1-inch socket PVC tees,6,4 square corners and 2 feet
1-inch PVC end caps,6,4 feet and 2 upper masts
"1-inch PVC, 10 ft stock",6,Enough for both foot sets with nesting described below
"3/4-inch PVC, 10 ft stock",1,Four 645.69 mm corner braces
"2.4 mm 275 paracord, 100 ft",3,20 x 3.3 m face cords + 4 x 4 m guys = 82 m; 9.44 m spare
Purchased 1-2.5 mm guy-line tensioners,4,Optional CL266 or equivalent; face cleats are integral
24-inch x 100-ft paper roll,1,Four 2090.4 mm pieces/gate; three gates plus two spare strips/roll
Ground stakes,4,Soil setup; suitable holding depends on actual ground
15 kg weighed ballast bags,4,"Hard surface starting test configuration, 60 kg total"
Ballast retaining straps,4,Secure bags to feet; no zip ties
Rubber foot pads,4,Hard-surface friction protection
Magnet-retaining adhesive,1,Compatible with PETG and magnet coating; use manufacturer cure time
